2025-10-29 17:41:36 | INFO     | root | Logs will be saved to logs/app_2025-10-29_17-41-36.log
2025-10-29 17:41:36 | INFO     | flet | Assets path configured: /Users/govindajithkumar/PycharmProjects/FoodBarcodeScanner/assets
2025-10-29 17:41:36 | INFO     | flet | Starting up UDS server on /var/folders/8p/3lycjd2d4yj6r4nzff87ynmr0000gn/T/KaYCaizJ5h
2025-10-29 17:41:36 | INFO     | flet | Flet app has started...
2025-10-29 17:41:36 | INFO     | flet | App URL: /var/folders/8p/3lycjd2d4yj6r4nzff87ynmr0000gn/T/KaYCaizJ5h
2025-10-29 17:41:36 | INFO     | flet_desktop | Starting Flet View app...
2025-10-29 17:41:36 | INFO     | flet_desktop | Flet View found in: /Users/govindajithkumar/.flet/bin/flet-0.28.3
2025-10-29 17:41:36 | INFO     | flet | App session started
2025-10-29 17:41:36 | INFO     | utils | History cleared successfully.
2025-10-29 17:41:36 | ERROR    | utils | No more history barcodes in the database
2025-10-29 17:41:38 | INFO     | utils | Barcode Updated - 8445290728791 is a valid numerical barcode
2025-10-29 17:41:38 | INFO     | utils | Top 5 history barcodes : {'8445290728791': 1} 
2025-10-29 17:41:38 | INFO     | utils | History updated successfully.
2025-10-29 17:41:38 | INFO     | utils | JSON file 8445290728791 exists in history directory.
2025-10-29 17:41:38 | INFO     | ui | File found from history - will use that
2025-10-29 17:41:38 | INFO     | get_food_db | Successfully fetched image from website
2025-10-29 17:41:38 | INFO     | get_food_db | Successfully fetched all available and requested from website
2025-10-29 17:41:38 | INFO     | ui | New Barcode Data processed for 8445290728791
2025-10-29 17:41:38 | INFO     | ui | Successfully showed image for 8445290728791
2025-10-29 17:41:38 | INFO     | utils | Barcode Updated - 8445290728791 is a valid numerical barcode
2025-10-29 17:41:38 | INFO     | ui | Successfully updated nutritional info for 8445290728791
2025-10-29 17:41:40 | INFO     | utils | Barcode Updated - 8445290728792 is a valid numerical barcode
2025-10-29 17:41:40 | INFO     | utils | Top 5 history barcodes : {'8445290728791': 1, '8445290728792': 1} 
2025-10-29 17:41:40 | INFO     | utils | History updated successfully.
2025-10-29 17:41:40 | WARNING  | utils | File not found in history for - 8445290728792
2025-10-29 17:41:40 | WARNING  | ui | File not found from history - retrieving data from internet
2025-10-29 17:41:41 | INFO     | get_food_db | Successfully fetched data from website
2025-10-29 17:41:41 | INFO     | get_food_db | Successfully fetched image from website
2025-10-29 17:41:41 | ERROR    | get_food_db | Image not available on the website
2025-10-29 17:41:41 | ERROR    | get_food_db | Serving Size not available on the website
2025-10-29 17:41:41 | ERROR    | get_food_db | Product Name not available on the website
2025-10-29 17:41:41 | ERROR    | get_food_db | Nutriments not available on the website
2025-10-29 17:41:41 | ERROR    | get_food_db | Nutrient Levels not available on the website
2025-10-29 17:41:41 | ERROR    | get_food_db | Nutrient Level Tags not available on the website
2025-10-29 17:41:41 | ERROR    | get_food_db | Nutrient Score Graded not available on the website
2025-10-29 17:41:41 | INFO     | get_food_db | Successfully fetched all available and requested from website
2025-10-29 17:41:41 | INFO     | ui | New Barcode Data processed for 8445290728792
2025-10-29 17:41:41 | INFO     | ui | Successfully showed image for 8445290728792
2025-10-29 17:41:41 | INFO     | utils | Barcode Updated - 8445290728792 is a valid numerical barcode
2025-10-29 17:41:41 | ERROR    | ui | 'str' object has no attribute 'items'
2025-10-29 17:41:41 | ERROR    | ui | 'Nutrient Score Graded Unavailable from source'
2025-10-29 17:41:42 | INFO     | utils | Barcode Updated - 8445290728791 is a valid numerical barcode
2025-10-29 17:41:42 | INFO     | utils | Top 5 history barcodes : {'8445290728791': 2, '8445290728792': 1} 
2025-10-29 17:41:42 | INFO     | utils | History updated successfully.
2025-10-29 17:41:42 | INFO     | utils | JSON file 8445290728791 exists in history directory.
2025-10-29 17:41:42 | INFO     | ui | File found from history - will use that
2025-10-29 17:41:42 | INFO     | get_food_db | Successfully fetched image from website
2025-10-29 17:41:42 | INFO     | get_food_db | Successfully fetched all available and requested from website
2025-10-29 17:41:42 | INFO     | ui | New Barcode Data processed for 8445290728791
2025-10-29 17:41:42 | INFO     | ui | Successfully showed image for 8445290728791
2025-10-29 17:41:42 | INFO     | utils | Barcode Updated - 8445290728791 is a valid numerical barcode
2025-10-29 17:41:42 | INFO     | ui | Successfully updated nutritional info for 8445290728791
2025-10-29 17:41:44 | INFO     | utils | Barcode Updated - 8445290728795 is a valid numerical barcode
2025-10-29 17:41:44 | INFO     | utils | Top 5 history barcodes : {'8445290728791': 2, '8445290728792': 1, '8445290728795': 1} 
2025-10-29 17:41:44 | INFO     | utils | History updated successfully.
2025-10-29 17:41:44 | WARNING  | utils | File not found in history for - 8445290728795
2025-10-29 17:41:44 | WARNING  | ui | File not found from history - retrieving data from internet
2025-10-29 17:41:45 | INFO     | get_food_db | Successfully fetched data from website
2025-10-29 17:41:45 | INFO     | get_food_db | Successfully fetched image from website
2025-10-29 17:41:45 | ERROR    | get_food_db | Image not available on the website
2025-10-29 17:41:45 | ERROR    | get_food_db | Serving Size not available on the website
2025-10-29 17:41:45 | ERROR    | get_food_db | Product Name not available on the website
2025-10-29 17:41:45 | ERROR    | get_food_db | Nutriments not available on the website
2025-10-29 17:41:45 | ERROR    | get_food_db | Nutrient Levels not available on the website
2025-10-29 17:41:45 | ERROR    | get_food_db | Nutrient Level Tags not available on the website
2025-10-29 17:41:45 | ERROR    | get_food_db | Nutrient Score Graded not available on the website
2025-10-29 17:41:45 | INFO     | get_food_db | Successfully fetched all available and requested from website
2025-10-29 17:41:45 | INFO     | ui | New Barcode Data processed for 8445290728795
2025-10-29 17:41:45 | INFO     | ui | Successfully showed image for 8445290728795
2025-10-29 17:41:45 | INFO     | utils | Barcode Updated - 8445290728795 is a valid numerical barcode
2025-10-29 17:41:45 | ERROR    | ui | 'str' object has no attribute 'items'
2025-10-29 17:41:45 | ERROR    | ui | 'Nutrient Score Graded Unavailable from source'
2025-10-29 17:41:47 | INFO     | utils | Barcode Updated - 8445290728798 is a valid numerical barcode
2025-10-29 17:41:47 | INFO     | utils | Top 5 history barcodes : {'8445290728791': 2, '8445290728792': 1, '8445290728795': 1, '8445290728798': 1} 
2025-10-29 17:41:47 | INFO     | utils | History updated successfully.
2025-10-29 17:41:47 | WARNING  | utils | File not found in history for - 8445290728798
2025-10-29 17:41:47 | WARNING  | ui | File not found from history - retrieving data from internet
2025-10-29 17:41:48 | INFO     | get_food_db | Successfully fetched data from website
2025-10-29 17:41:48 | INFO     | get_food_db | Successfully fetched image from website
2025-10-29 17:41:48 | ERROR    | get_food_db | Image not available on the website
2025-10-29 17:41:48 | ERROR    | get_food_db | Serving Size not available on the website
2025-10-29 17:41:48 | ERROR    | get_food_db | Product Name not available on the website
2025-10-29 17:41:48 | ERROR    | get_food_db | Nutriments not available on the website
2025-10-29 17:41:48 | ERROR    | get_food_db | Nutrient Levels not available on the website
2025-10-29 17:41:48 | ERROR    | get_food_db | Nutrient Level Tags not available on the website
2025-10-29 17:41:48 | ERROR    | get_food_db | Nutrient Score Graded not available on the website
2025-10-29 17:41:48 | INFO     | get_food_db | Successfully fetched all available and requested from website
2025-10-29 17:41:48 | INFO     | ui | New Barcode Data processed for 8445290728798
2025-10-29 17:41:48 | INFO     | ui | Successfully showed image for 8445290728798
2025-10-29 17:41:48 | INFO     | utils | Barcode Updated - 8445290728798 is a valid numerical barcode
2025-10-29 17:41:48 | ERROR    | ui | 'str' object has no attribute 'items'
2025-10-29 17:41:48 | ERROR    | ui | 'Nutrient Score Graded Unavailable from source'
2025-10-29 17:41:49 | INFO     | utils | Barcode Updated - 8445290728799 is a valid numerical barcode
2025-10-29 17:41:49 | INFO     | utils | Top 5 history barcodes : {'8445290728791': 2, '8445290728792': 1, '8445290728795': 1, '8445290728798': 1, '8445290728799': 1} 
2025-10-29 17:41:49 | INFO     | utils | History updated successfully.
2025-10-29 17:41:49 | WARNING  | utils | File not found in history for - 8445290728799
2025-10-29 17:41:49 | WARNING  | ui | File not found from history - retrieving data from internet
2025-10-29 17:41:50 | INFO     | get_food_db | Successfully fetched data from website
2025-10-29 17:41:50 | INFO     | get_food_db | Successfully fetched image from website
2025-10-29 17:41:50 | ERROR    | get_food_db | Image not available on the website
2025-10-29 17:41:50 | ERROR    | get_food_db | Serving Size not available on the website
2025-10-29 17:41:50 | ERROR    | get_food_db | Product Name not available on the website
2025-10-29 17:41:50 | ERROR    | get_food_db | Nutriments not available on the website
2025-10-29 17:41:50 | ERROR    | get_food_db | Nutrient Levels not available on the website
2025-10-29 17:41:50 | ERROR    | get_food_db | Nutrient Level Tags not available on the website
2025-10-29 17:41:50 | ERROR    | get_food_db | Nutrient Score Graded not available on the website
2025-10-29 17:41:50 | INFO     | get_food_db | Successfully fetched all available and requested from website
2025-10-29 17:41:50 | INFO     | ui | New Barcode Data processed for 8445290728799
2025-10-29 17:41:50 | INFO     | ui | Successfully showed image for 8445290728799
