2025-10-29 17:28:24 | INFO     | root | Logs will be saved to logs/app_2025-10-29_17-28-24.log
2025-10-29 17:28:24 | INFO     | flet | Assets path configured: /Users/govindajithkumar/PycharmProjects/FoodBarcodeScanner/assets
2025-10-29 17:28:24 | INFO     | flet | Starting up UDS server on /var/folders/8p/3lycjd2d4yj6r4nzff87ynmr0000gn/T/XUz0tcNRSM
2025-10-29 17:28:24 | INFO     | flet | Flet app has started...
2025-10-29 17:28:24 | INFO     | flet | App URL: /var/folders/8p/3lycjd2d4yj6r4nzff87ynmr0000gn/T/XUz0tcNRSM
2025-10-29 17:28:24 | INFO     | flet_desktop | Starting Flet View app...
2025-10-29 17:28:24 | INFO     | flet_desktop | Flet View found in: /Users/govindajithkumar/.flet/bin/flet-0.28.3
2025-10-29 17:28:25 | INFO     | flet | App session started
2025-10-29 17:28:25 | INFO     | utils | History cleared successfully.
2025-10-29 17:28:25 | ERROR    | utils | No more history barcodes in the database
2025-10-29 17:28:32 | ERROR    | utils | Barcode Update Failed - sdasdad is not a number
2025-10-29 17:28:32 | ERROR    | ui | Barcode Validation Error
2025-10-29 17:28:32 | INFO     | ui | Successfully showed image for None
2025-10-29 17:28:32 | ERROR    | utils | Barcode Update Failed - Invalid Barcode - Please enter a numerical barcode is not a number
2025-10-29 17:28:32 | ERROR    | ui | Cannot display nutritional info for an invalid barcode
2025-10-29 17:28:49 | ERROR    | utils | Barcode Update Failed - Invalid Barcode - Please enter a numesssrical barcode is not a number
2025-10-29 17:28:49 | ERROR    | ui | Barcode Validation Error
2025-10-29 17:28:49 | INFO     | ui | Successfully showed image for None
2025-10-29 17:28:49 | ERROR    | utils | Barcode Update Failed - Invalid Barcode - Please enter a numerical barcode is not a number
2025-10-29 17:28:49 | ERROR    | ui | Cannot display nutritional info for an invalid barcode
2025-10-29 17:28:59 | ERROR    | utils | Barcode Update Failed - Invalid Barcode - Please enter a numerical barcode is not a number
2025-10-29 17:28:59 | ERROR    | ui | Barcode Validation Error
2025-10-29 17:28:59 | INFO     | ui | Successfully showed image for None
2025-10-29 17:28:59 | ERROR    | utils | Barcode Update Failed - Invalid Barcode - Please enter a numerical barcode is not a number
2025-10-29 17:28:59 | ERROR    | ui | Cannot display nutritional info for an invalid barcode
2025-10-29 17:29:03 | ERROR    | utils | Barcode Update Failed - Invalid Barcode - Please enter a numerical barcode is not a number
2025-10-29 17:29:03 | ERROR    | ui | Barcode Validation Error
2025-10-29 17:29:03 | INFO     | ui | Successfully showed image for None
2025-10-29 17:29:03 | ERROR    | utils | Barcode Update Failed - Invalid Barcode - Please enter a numerical barcode is not a number
2025-10-29 17:29:03 | ERROR    | ui | Cannot display nutritional info for an invalid barcode
