2025-10-24 12:33:22 | DEBUG    | flet | page.on_event_async: page app_lifecycle_state_change show
2025-10-24 12:33:22 | DEBUG    | flet | page.on_event_async: page app_lifecycle_state_change resume
2025-10-24 12:33:22 | DEBUG    | flet | _on_message: {"action":"pageEventFromWeb","payload":{"eventTarget":"page","eventName":"error","eventData":"SocketException: Failed host lookup: 'via.placeholder.com' (OS Error: nodename nor servname provided, or not known, errno = 8)"}}
2025-10-24 12:33:22 | DEBUG    | flet | page.on_event_async: page error SocketException: Failed host lookup: 'via.placeholder.com' (OS Error: nodename nor servname provided, or not known, errno = 8)
2025-10-24 12:33:22 | DEBUG    | flet | _on_message: {"action":"pageEventFromWeb","payload":{"eventTarget":"_5","eventName":"focus","eventData":null}}
2025-10-24 12:33:22 | DEBUG    | flet | page.on_event_async: _5 focus None
2025-10-24 12:33:22 | DEBUG    | flet | _on_message: {"action":"pageEventFromWeb","payload":{"eventTarget":"_5","eventName":"click","eventData":null}}
2025-10-24 12:33:22 | DEBUG    | flet | page.on_event_async: _5 click None
2025-10-24 12:33:22 | DEBUG    | flet | _on_message: {"action":"updateControlProps","payload":{"props":[{"i":"_5","value":"s"}]}}
2025-10-24 12:33:22 | DEBUG    | flet | page.on_event_async: page change [{"i":"_5","value":"s"}]
2025-10-24 12:33:23 | DEBUG    | flet | _on_message: {"action":"updateControlProps","payload":{"props":[{"i":"_5","value":"ss"}]}}
2025-10-24 12:33:23 | DEBUG    | flet | page.on_event_async: page change [{"i":"_5","value":"ss"}]
2025-10-24 12:33:23 | DEBUG    | flet | _on_message: {"action":"updateControlProps","payload":{"props":[{"i":"_5","value":"sss"}]}}
2025-10-24 12:33:23 | DEBUG    | flet | page.on_event_async: page change [{"i":"_5","value":"sss"}]
2025-10-24 12:33:23 | DEBUG    | flet | _on_message: {"action":"pageEventFromWeb","payload":{"eventTarget":"_5","eventName":"blur","eventData":null}}
2025-10-24 12:33:23 | DEBUG    | flet | page.on_event_async: _5 blur None
2025-10-24 12:33:23 | DEBUG    | flet | _on_message: {"action":"pageEventFromWeb","payload":{"eventTarget":"_7","eventName":"click","eventData":null}}
2025-10-24 12:33:23 | DEBUG    | flet | page.on_event_async: _7 click None
2025-10-24 12:33:23 | ERROR    | utils | Barcode Update Failed - sss is not a number
2025-10-24 12:33:23 | ERROR    | get_food_db | Barcode Validation Error
2025-10-24 12:33:23 | DEBUG    | flet | _process_command: set ['_5'] {'color': 'red', 'value': 'Invalid Barcode - Please enter a numerical barcode'}
2025-10-24 12:33:23 | DEBUG    | flet | __send: {"action":"pageControlsBatch","payload":[{"action":"updateControlProps","payload":{"props":[{"i":"_5","color":"red","value":"Invalid Barcode - Please enter a numerical barcode"}]}}]}
2025-10-24 12:33:23 | INFO     | get_food_db | Successfully showed image for None
2025-10-24 12:33:23 | ERROR    | utils | Barcode Update Failed - Invalid Barcode - Please enter a numerical barcode is not a number
2025-10-24 12:33:23 | DEBUG    | flet | _process_command: add [] {'to': '_8', 'at': '0'}
2025-10-24 12:33:23 | DEBUG    | flet | sent to TCP: 186
2025-10-24 12:33:23 | DEBUG    | flet | __send: {"action":"pageControlsBatch","payload":[{"action":"addPageControls","payload":{"controls":[{"t":"textspan","i":"_9","p":"_8","c":[],"at":"0","style":"{\"size\":16,\"color\":\"red\"}","text":"Cannot display nutritional info for an invalid barcode"}],"trimIDs":[]}}]}
2025-10-24 12:33:23 | ERROR    | get_food_db | Cannot display nutritional info for an invalid barcode
2025-10-24 12:33:23 | DEBUG    | flet | sent to TCP: 270
2025-10-24 12:33:25 | DEBUG    | flet_desktop | Flet View process 32440
2025-10-24 12:33:25 | DEBUG    | flet | Closing connection...
2025-10-24 12:33:25 | DEBUG    | flet | Disconnecting all pages...
2025-10-24 12:33:25 | DEBUG    | flet | page.on_event_async: page disconnect 
2025-10-24 12:33:25 | DEBUG    | flet | Shutting down thread pool...
